Make,Model,Variant,Ex-Showroom_Price(Rs.),Displacement(cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_Tank_Capacity(litres),Height(mm),Length(mm),Width(mm),Doors,City_Mileage(km/litre),Gears,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Seating_Capacity,Wheelbase(mm),Boot_Space(litres)
Datsun,Go,T (O) Vdc,553015,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,T Cvt,594464,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Datsun,Go,T (O) Cvt,618015,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1507,3788,1636,5,20.6,5,155/70R13,155/70R13,5,2450,265
Maruti Suzuki,Celerio Tour,H2,422444,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,155/80R13,155/80R13,5,2425,235
Maruti Suzuki,Celerio Tour,H2 Cng,480670,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",60,1560,3695,1600,5,20,5,165/70R14,165/70R14,5,2425,235
Hyundai,Santro,Era Mt,429990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,20,5,155/80 R13,155/80 R13,5,2400,242
Hyundai,Santro,Magna Mt,503990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,22,5,155/80 R13,155/80 R13,5,2400,242
Hyundai,Santro,Magna Mt Cng,547990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,22,5,155/80 R13,155/80 R13,5,2400,242
Hyundai,Santro,Magna Amt,530990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,22,5,155/80 R13,155/80 R13,5,2400,242
Hyundai,Santro,Sportz Mt,512990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,22,5,165/70 R14,165/70 R14,5,2400,242
Hyundai,Santro,Sportz Mt Cng,578990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",60,1560,3610,1645,4,22,5,165/70 R14,165/70 R14,5,2400,242
Hyundai,Santro,Sportz Amt,570990,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,22,5,165/70 R14,165/70 R14,5,2400,242
Hyundai,Santro,Asta Mt,556490,1086,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3610,1645,4,22,5,155/80 R13,155/80 R13,5,2400,242
Tata,Tiago,Revotron Xe,460000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3765,1677,5,22,5,155/80 R13,155/80 R13,5,2400,242
Tata,Tiago,Revotron Xt,520000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175/65 R14,175/65 R14,5,2400,242
Tata,Tiago,Revotron Xz,570000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175/65 R14,175/65 R14,5,2400,242
Tata,Tiago,Revotron Xz Plus,599000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175/65 R14,175/65 R14,5,2400,242
Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175/65 R14,175/65 R14,5,2400,242
Tata,Tiago,Revotron Xza,620000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175 / 65 R14,175 / 65 R14,5,2400,240
Tata,Tiago,Revotron Xza Plus,649000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175/60 R15,175/60 R15,5,2400,240
Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1535,3746,1647,5,23.84,5,175/60 R15,175/60 R15,5,2400,240
Maruti Suzuki,Celerio X,Vxi (O),481074,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Vxi,475198,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Vxi Amt,518198,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Zxi,499734,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Zxi (O),540350,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Zxi Amt,542735,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Celerio X,Zxi Amt (O),552350,998,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",35,1560,3600,1600,5,23,5,165/70R14,165/70R14,5,2425,235
Maruti Suzuki,Ignis,Alpha 1.2 Amt,713898,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,20.89,5,175/65R 15,175/65R 15,5,2435,260
Maruti Suzuki,Ignis,Alpha 1.2 Mt,666898,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,20.89,5,175/65R 15,175/65R 15,5,2435,260
Maruti Suzuki,Ignis,Delta 1.2 Amt,607841,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,20.89,5,175/65R 15,175/65R 15,5,2435,260
Maruti Suzuki,Ignis,Delta 1.2 Mt,560841,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,20.89,5,175/65R 15,175/65R 15,5,2435,260
Maruti Suzuki,Ignis,Sigma 1.2 Mt,483320,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,20.89,5,175/65R 15,175/65R 15,5,2435,260
Maruti Suzuki,Ignis,Zeta 1.2 Amt,630320,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,15.1,5,175/65R 15,175/65R 15,5,2435,260
Maruti Suzuki,Ignis,Zeta 1.2 Mt,583320,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",32,1595,3700,1690,5,20.89,5,175/65R 15,175/65R 15,5,2435,260
Renault,Triber,Rxe,495000,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",40,1643,3990,1739,5,20.89,5,185/65 R14,185/65 R14,7,2636,625
Renault,Triber,Rxl,559000,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",40,1643,3990,1739,5,21,5,185/65 R14,185/65 R14,7,2636,625
Renault,Triber,Rxt,609000,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",40,1643,3990,1739,5,21,5,185/65 R14,185/65 R14,7,2636,625
Renault,Triber,Rxz,663000,999,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",40,1643,3990,1739,5,21,5,185/65 R15,185/65 R15,7,2636,625
Premier,Rio,Gx,506000,1173,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",46,1730,3970,1570,5,13,5,205/70R15,205/70R15,5,2420,454
Premier,Rio,Ex,568623,1489,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",46,1730,3970,1570,5,12,5,205/70,205/70,5,2420,454
Premier,Rio,Glx,670000,1173,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",46,1730,3970,1570,5,13,5,205/70R15,205/70R15,5,2420,454
Premier,Rio,Dx,603000,1489,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",46,1730,3970,1570,5,12,5,205/70R15,205/70R15,5,2420,454
Premier,Rio,Lx,739000,1489,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",46,1730,3970,1570,5,12,5,205/70R15,205/70R15,5,2420,454
Premier,Rio,Crdi4,739000,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",46,1730,3970,1570,5,20,5,205/70R15,205/70R15,5,2420,454
Toyota,Etios Liva,G,520300,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,V,581000,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Gd,647800,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Vx,630000,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,185/60R15,185/60R15,5,2460,251
Toyota,Etios Liva,Vxd,745000,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,185/60R15,185/60R15,5,2460,251
Toyota,Etios Liva,Vd,704000,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Dual Tone V,597700,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Dual Tone Vd,720700,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Dual Tone Vx,641700,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,185/60R15,185/60R15,5,2460,251
Toyota,Etios Liva,Dual Tone Vxd,756700,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,185/60R15,185/60R15,5,2460,251
Toyota,Etios Liva,Gx,558400,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Gxd,686000,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,175/65R14,175/65R14,5,2460,251
Toyota,Etios Liva,Vx Dual Tone Limited Edition,662700,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,15.1,5,185/60R15,185/60R15,5,2460,251
Toyota,Etios Liva,Vxd Dual Tone Limited Edition,777700,1364,4,2,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1510,3884,1695,5,20.3,5,185/60R15,185/60R15,5,2460,251
Nissan,Micra Active,Xl,525021,1198,3,12,FWD (Front Wheel Drive),BS IV,"Front, Transverse",41,1530,3801,1665,5,20.3,5,155/80 R13,155/80 R13,5,2450,251
Nissan,Micra Active,Xv,599950,1198,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",41,1530,3801,1665,5,19.49,5,155/80R13,155/80R13,5,2450,251
Nissan,Micra Active,Xl (O),563133,1198,3,12,FWD (Front Wheel Drive),BS IV,"Front, Transverse",41,1530,3801,1665,5,19.49,5,155/80 R13,155/80 R13,5,2450,251
Tata,Bolt,Xt Diesel,787980,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,22,5,175/65 R15,175/65 R15,5,2470,210
Tata,Bolt,Xe Diesel,661111,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,22,5,175/65 R14,175/65 R14,5,2470,210
Tata,Bolt,Xm Diesel,693798,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,22,5,175/65 R14,175/65 R14,5,2470,210
Tata,Bolt,Xms Diesel,719661,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,22,5,175/65 R14,175/65 R14,5,2470,210
Tata,Bolt,Xt Petrol,674960,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,17,5,175/65 R15,175/65 R15,5,2470,210
Tata,Bolt,Xe Petrol,529035,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,17,5,175/65 R14,175/65 R14,5,2470,210
Tata,Bolt,Xm Petrol,590268,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,17,5,175 / 65 R14,175 / 65 R14,5,2470,210
Tata,Bolt,Xms Petrol,614515,1193,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",44,1562,3825,1695,5,17,5,175 / 65 R14,175 / 65 R14,5,2470,210
Hyundai,Xcent Prime,Cng T + (Cng +,556130,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",43,1520,3995,1660,4,17,5,165/65R14,165/65R14,5,2425,407
Hyundai,Xcent Prime,T,536859,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",43,1520,3995,1660,4,23.5,5,165/65R14,165/65R14,5,2425,407
Hyundai,Xcent Prime,T+,556130,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",43,1520,3995,1660,4,23.5,5,165/65R14,165/65R14,5,2425,407
Hyundai,Xcent Prime,Cng T (Cng +,536859,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",43,1520,3995,1660,4,23.5,5,165/65R14,165/65R14,5,2425,407
Hyundai,Xcent Prime,T+ Crdi,639616,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",43,1520,3995,1660,4,23.5,5,165/65R14,165/65R14,5,2425,407
Hyundai,Xcent Prime,T Crdi,620297,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",43,1520,3995,1660,4,23.5,5,165/65R14,165/65R14,5,2425,407
Maruti Suzuki,Dzire Tour,Ldi,653523,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1555,3995,1695,4,14.6,5,165/80R14,165/80R14,5,2430,320
Maruti Suzuki,Dzire Tour,Lxi,553423,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1555,3995,1695,4,16.3,5,165/80R14,165/80R14,5,2430,316
Maruti Suzuki,Dzire Tour,Lxi Cng,598940,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1555,3995,1695,4,16.3,5,165/80R14,165/80R14,5,2430,316
Hyundai,Elite I20,Era 1.2,559693,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3995,1710,5,13.3,5,185/70R14,185/70R14,5,2525,285
Hyundai,Elite I20,Era 1.4 Crdi,697803,1396,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,18.4,6,185/70R14,185/70R14,5,2570,285
Hyundai,Elite I20,Magna Plus,634950,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,13.3,5,185/70R14,185/70R14,5,2570,285
Hyundai,Elite I20,Magna Plus Crdi,770803,1396,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,18.4,6,185/70R14,185/70R14,5,2570,285
Hyundai,Elite I20,Sportz Plus,721693,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,13.3,5,185/65R14,185/65R14,5,2570,285
Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,876103,1396,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,18.4,6,185/65R14,185/65R14,5,2570,285
Hyundai,Elite I20,Asta (O) 1.2,808993,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3995,1734,5,13.3,5,195/55R16,195/55R16,5,2570,285
Hyundai,Elite I20,Asta (O) Crdi,934003,1396,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,18.4,6,195/55R16,195/55R16,5,2570,285
Hyundai,Elite I20,Asta (O) Cvt,920993,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,13.3,5,195/55R16,195/55R16,5,2570,285
Hyundai,Elite I20,Sportz Plus Dual Tone,751693,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,13.3,5,185/70R14,185/70R14,5,2570,285
Hyundai,Elite I20,Sportz Plus Cvt,831693,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,13.3,5,185/65R14,185/65R14,5,2570,285
Hyundai,Elite I20,Sportz Plus Crdi,846103,1396,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1505,3985,1734,5,18.4,6,185/70R14,185/70R14,5,2570,285
Hyundai,Aura,E 1.2 Petrol,579900,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,165/70 R14,165/70 R14,5,2450,378
Hyundai,Aura,S 1.2 Petrol,655900,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,165/70 R14,165/70 R14,5,2450,378
Hyundai,Aura,S 1.2 Amt Petrol,705800,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,Sx 1.2 Petrol,729900,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,Sx Plus 1.2 Amt Petrol,804800,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,Sx (O) 1.2 Petrol,785900,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,S 1.2 Cng Petrol (Cng +,728900,1197,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,Sx Plus 1.0 Petrol,854900,998,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,S 1.2 Diesel,773800,1186,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,165/70 R14,165/70 R14,5,2450,378
Hyundai,Aura,S 1.2 Amt Diesel,823700,1186,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,Sx Plus 1.2 Amt Diesel,922700,1186,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Hyundai,Aura,Sx (O) 1.2 Diesel,903800,1186,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",37,1520,3995,1680,5,19.5,5,175/60 R15,175/60 R15,5,2450,378
Volkswagen,Polo,Trendline 1.0L (P),582000,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,14,5,175/70R14,175/70R14,5,2469,280
Volkswagen,Polo,Comfortline 1.0 (P),676500,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,14,5,185/60R15,185/60R15,5,2469,280
Volkswagen,Polo,Highline Plus 1.0 (P),776500,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,14,5,185/60R16,185/60R16,5,2469,280
Volkswagen,Polo,Trendline 1.5L (D),734500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,19,5,175/70R14,175/70R14,5,2469,280
Volkswagen,Polo,Comfortline 1.5 (D),851500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,19,5,185/60R15,185/60R15,5,2469,280
Volkswagen,Polo,Highline Plus 1.5 (D),931500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,19,5,185/60R16,185/60R16,5,2469,280
Volkswagen,Polo,Gt Tsi,976000,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,17,7,185/60R15,185/60R15,5,2469,280
Volkswagen,Polo,Gt Tdi,988500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1469,3971,1682,5,19,5,185/60R15,185/60R15,5,2469,250
Maruti Suzuki,Dzire,Lxi,582613,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,5,165/80R14,165/80R14,5,2450,378
Maruti Suzuki,Dzire,Vxi,673112,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,5,165/80R14,165/80R14,5,2450,378
Maruti Suzuki,Dzire,Ldi,666622,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28,5,165/80R14,165/80R14,5,2450,378
Maruti Suzuki,Dzire,Zxi,732113,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Vdi,757622,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28.4,5,165/80R14,165/80R14,5,2450,378
Maruti Suzuki,Dzire,Vxi Amt,720112,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,4,165/80R14,165/80R14,5,2450,378
Maruti Suzuki,Dzire,Zdi Amt,863122,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28.4,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Zdi,816622,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Zxi Plus,821613,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Zxi At,779113,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Zxi Plus Amt,868613,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,16.3,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Zdi Plus,906122,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28,5,185/65R15,185/65R15,5,2450,378
Maruti Suzuki,Dzire,Vdi Amt,804622,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28.4,5,165/80R14,165/80R14,5,2450,378
Maruti Suzuki,Dzire,Zdi Plus Amt,952622,1248,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",37,1515,3995,1735,4,28.4,5,185/65R15,185/65R15,5,2450,378
Ford,Freestyle,1.5L Tdci Ambiente,676400,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",40,1570,3954,1737,5,26.7,5,185/60R15,185/60R15,5,2490,257
Ford,Freestyle,1.5L Tdci Titanium,790900,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",40,1570,3954,1737,5,26.7,5,175/65R14,175/65R14,5,2490,257
Ford,Freestyle,1.5L Tdci Titanium Plus,836400,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",40,1570,3954,1737,5,26.7,5,175/65R14,175/65R14,5,2490,257
Ford,Freestyle,1.2L Ti-Vct Ambiente,591400,1194,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1570,3954,1737,5,26.7,5,185/60R15,185/60R15,5,2490,257
Ford,Freestyle,1.2L Ti-Vct Titanium,721400,1194,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1570,3954,1737,5,26.7,5,185/60R15,185/60R15,5,2490,257
Ford,Freestyle,1.2L Ti-Vct Titanium Plus,756400,1194,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1570,3954,1737,5,26.7,5,185/60R15,185/60R15,5,2490,257
Ford,Freestyle,1.2L Ti-Vct Trend Plus,681400,1194,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1570,3954,1737,5,26.7,5,185/60R15,185/60R15,5,2490,257
Ford,Freestyle,1.5L Tdci Trend Plus,745900,1498,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",42,1570,3954,1737,5,26.7,5,175/65R14,175/65R14,5,2490,257
Volkswagen,Ameo,Trendline 1.5L Tdi,711500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",45,1483,3995,1682,4,15.3,5,185/60 R15,185/60 R15,5,2470,330
Volkswagen,Ameo,Comfortline 1.5L Tdi,810500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1483,3995,1682,4,15.3,5,185/60 R15,185/60 R15,5,2470,330
Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,999900,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",45,1483,3995,1682,4,15.3,7,195 / 55 R16,195 / 55 R16,5,2470,330
Volkswagen,Ameo,Highline Plus 1.5L Tdi,925500,1498,4,4,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",45,1483,3995,1682,4,15.3,5,195 / 55 R16,195 / 55 R16,5,2470,330
Volkswagen,Ameo,Trendline 1.0L,594000,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1483,3995,1682,4,15.3,5,175/70 R14,175/70 R14,5,2470,330
Volkswagen,Ameo,Comfortline 1.0L,665000,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1483,3995,1682,4,15.3,5,185/60 R15,185/60 R15,5,2470,330
Volkswagen,Ameo,Highline Plus 1.0L,799900,999,3,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1483,3995,1682,4,15.3,5,195/55 R16,195/55 R16,5,2470,330
