Make,Model,Variant,Ex-Showroom_Price(Rs.),Displacement(cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_Tank_Capacity(litres),Height(mm),Length(mm),Width(mm),Doors,City_Mileage(km/litre),Gears,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Seating_Capacity,Wheelbase(mm),Boot_Space(litres)
Tata,Winger,15S,1205000,2200,4,4,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",85,2670,5458,1905,5,12.8,5,"195 R15 LT, 8PR Radial","195 R15 LT, 8PR Radial",16,3488,400
Bentley,Flying Spur,V8,34167064,3993,8,4,AWD (All Wheel Drive),BS IV,"Front, Longitudinal",90,1488,5299,2207,4,2,8,275/40R19,275/40R19,4,3066,475
Bentley,Flying Spur,W12,39382083,5998,12,4,AWD (All Wheel Drive),BS IV,"Rear, Longitudinal",90,1488,5299,2207,4,2,8,275/40R19,275/40R19,4,3066,475
Maruti Suzuki,Omni,5 Str Bs-Iv,282778,796,3,2,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",35,1640,3370,1410,5,13,4,145R 12 LT 6PR,145R 12 LT 6PR,5,1840,525
Maruti Suzuki,Omni,E 8 Str Bs-Iv,284485,796,3,2,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",36,1640,3370,1410,5,13,4,145R 12 LT 6PR,145R 12 LT 6PR,8,1840,525
Icml,Extreme,Ld Crdfi Ps Ac 9 Seater Bsiv,628072,1994,4,4,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",50,1885,4440,1677,5,8.6,5,205/65 R15,205/65 R15,9,2541,345
Icml,Extreme,Vd Crdfi 7 Seater Bsiii,900967,1994,4,4,RWD (Rear Wheel Drive),BS III,"Front, Longitudinal",50,1885,4440,1677,5,8.6,5,205/65 R15,205/65 R15,7,2541,345
Icml,Extreme,Vd Di 7 Seater Bsiii,1465148,1994,4,4,RWD (Rear Wheel Drive),BS III,"Front, Longitudinal",50,1885,4440,1677,5,8.6,5,205/65 R15,205/65 R15,7,2541,345
Icml,Extreme,Sd Crdfi 9 Seater Bsiv,552890,1994,4,4,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",50,1885,4440,1677,5,8.6,5,205/65 R15,205/65 R15,9,2541,345
Icml,Extreme,Vd Crdfi 7 Seater Bsiv,927689,1994,4,4,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",50,1885,4440,1677,5,8.6,5,205/65 R15,205/65 R15,7,2541,345
Icml,Extreme,Sd Crdfi 9 Seater Bsiii,835275,1994,4,4,RWD (Rear Wheel Drive),BS III,"Front, Longitudinal",50,1885,4440,1677,5,8.6,5,205/65 R15,205/65 R15,9,2541,345
Tata,Tigor,Revotron Xe,575000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1537,3992,1677,4,24.12,5,155/80 R13,155/80 R13,5,2450,419
Tata,Tigor,Revotron Xm,610000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1537,3992,1677,4,24.12,5,155/80 R13,155/80 R13,5,2450,419
Tata,Tigor,Revotron Xz,650000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1537,3992,1677,4,24.12,5,175/60 R15,175/60 R15,5,2450,419
Tata,Tigor,Revotron Xz Plus,699000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1537,3992,1677,4,24.12,5,175/60 R15,175/60 R15,5,2450,419
Tata,Tigor,Revotron Xma,660000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1537,3992,1677,4,24.12,5,155/80 R13,155/80 R13,5,2450,419
Tata,Tigor,Revotron Xza Plus,749000,1199,3,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1537,3992,1677,4,24.12,5,175/60 R15,175/60 R15,5,2450,419
